ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
70,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=132.ADB10-UH01,-,Interface Cubicle DC GIS,3,,,,
71,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT11,-,Temperature Transmitter (PT100),1,,,,
72,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT12,HVAC,Temperature Transmitter (PT100),1,,,,
73,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT13,HVAC,Temperature Transmitter (PT100),1,,,,
74,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT14,HVAC,Temperature Transmitter (PT100),1,,,,
75,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT15,HVAC,Temperature Transmitter (PT100),1,,,,
76,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT16,HVAC,Temperature Transmitter (PT100),1,,,,
77,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT18,HVAC,Temperature Transmitter (PT100),3,,,,
78,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT19,HVAC,Temperature Transmitter (PT100),3,,,,
79,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT20,HVAC,Temperature Transmitter (PT100),3,,,,
80,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT21,HVAC,Temperature Transmitter (PT100),3,,,,
81,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT22,HVAC,Temperature Transmitter (PT100),3,,,,
82,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT23,HVAC,Temperature Transmitter (PT100),3,,,,
83,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT24,HVAC,Temperature Transmitter (PT100),3,,,,
84,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT25,HVAC,Temperature Transmitter (PT100),3,,,,
85,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT26,HVAC,Temperature Transmitter (PT100),3,,,,
86,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT27,HVAC,Temperature Transmitter (PT100),3,,,,
87,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT28,HVAC,Temperature Transmitter (PT100),3,,,,
